Date,COMMUNITY,ZIP,Unemployment rate (%)
06/01/2020 12:00:00 AM,Descanso,91916,12.74
05/01/2020 12:00:00 AM,Descanso,91916,15.61
04/01/2020 12:00:00 AM,Descanso,91916,15.44
03/01/2020 12:00:00 AM,Descanso,91916,3.56
02/01/2020 12:00:00 AM,Descanso,91916,2.03
02/01/2023 12:00:00 AM,Chula Vista SE,91915,3.11
01/01/2023 12:00:00 AM,Chula Vista SE,91915,3.01
12/01/2022 12:00:00 AM,Chula Vista SE,91915,2.37
11/01/2022 12:00:00 AM,Chula Vista SE,91915,2.8
10/01/2022 12:00:00 AM,Chula Vista SE,91915,2.94
09/01/2022 12:00:00 AM,Chula Vista SE,91915,2.8
08/01/2022 12:00:00 AM,Chula Vista SE,91915,3.39
07/01/2022 12:00:00 AM,Chula Vista SE,91915,3.3
06/01/2022 12:00:00 AM,Chula Vista SE,91915,3.06
05/01/2022 12:00:00 AM,Chula Vista SE,91915,2.57
04/01/2022 12:00:00 AM,Chula Vista SE,91915,2.78
03/01/2022 12:00:00 AM,Chula Vista SE,91915,3.15
02/01/2022 12:00:00 AM,Chula Vista SE,91915,3.57
01/01/2022 12:00:00 AM,Chula Vista SE,91915,4.04
12/01/2021 12:00:00 AM,Chula Vista SE,91915,3.58
11/01/2021 12:00:00 AM,Chula Vista SE,91915,3.91
10/01/2021 12:00:00 AM,Chula Vista SE,91915,4.62
09/01/2021 12:00:00 AM,Chula Vista SE,91915,4.87
08/01/2021 12:00:00 AM,Chula Vista SE,91915,6.19
07/01/2021 12:00:00 AM,Chula Vista SE,91915,6.66
06/01/2021 12:00:00 AM,Chula Vista SE,91915,6.73
05/01/2021 12:00:00 AM,Chula Vista SE,91915,5.97
04/01/2021 12:00:00 AM,Chula Vista SE,91915,6.66
03/01/2021 12:00:00 AM,Chula Vista SE,91915,6.79
02/01/2021 12:00:00 AM,Chula Vista SE,91915,7.06
01/01/2021 12:00:00 AM,Chula Vista SE,91915,7.49
12/01/2020 12:00:00 AM,Chula Vista SE,91915,7.47
11/01/2020 12:00:00 AM,Chula Vista SE,91915,7.29
10/01/2020 12:00:00 AM,Chula Vista SE,91915,7.65
09/01/2020 12:00:00 AM,Chula Vista SE,91915,8.72
08/01/2020 12:00:00 AM,Chula Vista SE,91915,9.86
07/01/2020 12:00:00 AM,Chula Vista SE,91915,12.18
06/01/2020 12:00:00 AM,Chula Vista SE,91915,12.91
05/01/2020 12:00:00 AM,Chula Vista SE,91915,15.46
04/01/2020 12:00:00 AM,Chula Vista SE,91915,14.79
03/01/2020 12:00:00 AM,Chula Vista SE,91915,4.13
02/01/2020 12:00:00 AM,Chula Vista SE,91915,2.7
02/01/2023 12:00:00 AM,Chula Vista NE,91914,2.36
